Date&Time (UTC),Dry bulb temperature (deg. C), Global horizontal irradiance (W/m2) ,Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2), Infrared radiation downwards (W/m2),  Windspeed (m/s)
04/01/2012 10:00:00,7.66,224.00,587.07,75.00,265.38,6.41
04/01/2012 11:00:00,8.44,276.00,611.18,90.00,267.40,7.20
04/01/2012 12:00:00,8.22,291.00,655.46,85.00,272.75,6.77
04/01/2012 13:00:00,8.00,260.00,660.80,73.00,278.10,6.34
04/01/2012 14:00:00,7.79,138.00,216.39,92.00,283.45,5.90
04/01/2012 15:00:00,7.70,36.00,18.54,34.00,286.38,6.17
04/01/2012 16:00:00,7.61,0.00,-0.00,0.00,289.32,6.44
04/01/2012 17:00:00,7.52,0.00,-0.00,0.00,292.25,6.70
04/01/2012 18:00:00,7.61,0.00,-0.00,0.00,299.88,7.11
04/01/2012 19:00:00,7.70,0.00,-0.00,0.00,307.52,7.51
04/01/2012 20:00:00,7.80,0.00,-0.00,0.00,315.15,7.92
04/01/2012 21:00:00,7.92,0.00,-0.00,0.00,322.38,8.31
04/01/2012 22:00:00,8.04,0.00,-0.00,0.00,329.62,8.71
04/01/2012 23:00:00,8.16,0.00,-0.00,0.00,336.85,9.10
05/01/2012 00:00:00,8.34,0.00,-0.00,0.00,338.88,9.20
05/01/2012 01:00:00,8.51,0.00,-0.00,0.00,340.92,9.30
05/01/2012 02:00:00,8.69,0.00,-0.00,0.00,342.95,9.39
05/01/2012 03:00:00,8.53,0.00,-0.00,0.00,342.97,9.61
05/01/2012 04:00:00,8.38,0.00,-0.00,0.00,342.98,9.83
05/01/2012 05:00:00,8.22,0.00,-0.00,0.00,343.00,10.04
05/01/2012 06:00:00,8.59,0.00,-0.00,0.00,344.27,9.92
05/01/2012 07:00:00,8.97,0.00,-0.00,0.00,345.53,9.79
05/01/2012 08:00:00,9.34,9.00,0.00,9.00,346.80,9.67
05/01/2012 09:00:00,9.58,56.00,11.97,54.00,347.20,10.00
05/01/2012 10:00:00,9.82,65.00,0.00,65.00,347.60,10.32
05/01/2012 11:00:00,10.06,242.00,375.95,127.00,348.00,10.65
05/01/2012 12:00:00,9.68,41.00,0.00,41.00,344.13,10.69
05/01/2012 13:00:00,9.30,33.00,0.00,33.00,340.27,10.73
05/01/2012 14:00:00,8.92,190.00,642.07,52.00,336.40,10.77
05/01/2012 15:00:00,8.47,79.00,425.96,32.00,322.87,10.23
05/01/2012 16:00:00,8.02,0.00,-0.00,0.00,309.33,9.68
05/01/2012 17:00:00,7.57,0.00,-0.00,0.00,295.80,9.13
05/01/2012 18:00:00,7.31,0.00,-0.00,0.00,291.53,8.75
05/01/2012 19:00:00,7.05,0.00,-0.00,0.00,287.27,8.37
05/01/2012 20:00:00,6.79,0.00,-0.00,0.00,283.00,7.99
05/01/2012 21:00:00,6.51,0.00,-0.00,0.00,280.33,7.40
05/01/2012 22:00:00,6.23,0.00,-0.00,0.00,277.67,6.81
05/01/2012 23:00:00,5.94,0.00,-0.00,0.00,275.00,6.22
06/01/2012 00:00:00,5.91,0.00,-0.00,0.00,276.50,6.22
06/01/2012 01:00:00,5.87,0.00,-0.00,0.00,278.00,6.21
06/01/2012 02:00:00,5.83,0.00,-0.00,0.00,279.50,6.21
06/01/2012 03:00:00,5.53,0.00,-0.00,0.00,275.47,5.79
06/01/2012 04:00:00,5.22,0.00,-0.00,0.00,271.43,5.38
06/01/2012 05:00:00,4.92,0.00,-0.00,0.00,267.40,4.97
06/01/2012 06:00:00,4.86,0.00,-0.00,0.00,262.73,4.70
06/01/2012 07:00:00,4.79,0.00,-0.00,0.00,258.07,4.44
06/01/2012 08:00:00,4.73,19.00,82.09,15.00,253.40,4.18
06/01/2012 09:00:00,5.51,125.00,386.63,60.00,252.73,4.74
06/01/2012 10:00:00,6.28,228.00,600.59,74.00,252.07,5.29
06/01/2012 11:00:00,7.06,222.00,269.84,139.00,251.40,5.85
06/01/2012 12:00:00,7.07,275.00,515.48,111.00,265.70,5.38
06/01/2012 13:00:00,7.08,258.00,605.46,84.00,280.00,4.91
06/01/2012 14:00:00,7.10,168.00,400.21,81.00,294.30,4.44
06/01/2012 15:00:00,5.97,65.00,194.81,43.00,287.48,3.59
06/01/2012 16:00:00,4.84,0.00,-0.00,0.00,280.67,2.74
06/01/2012 17:00:00,3.71,0.00,-0.00,0.00,273.85,1.89
06/01/2012 18:00:00,3.60,0.00,-0.00,0.00,268.78,2.13
