Date&Time (UTC),Dry bulb temperature (deg. C), Global horizontal irradiance (W/m2) ,Direct (beam) normal Irradiance (W/m2),Diffuse horizontal irradiance (W/m2), Infrared radiation downwards (W/m2),  Windspeed (m/s)
09/03/2009 16:00:00,7.10,138.00,121.83,108.00,274.67,5.81
09/03/2009 17:00:00,6.45,46.00,210.20,28.00,270.05,4.88
09/03/2009 18:00:00,6.12,0.00,-0.00,0.00,272.87,4.67
09/03/2009 19:00:00,5.79,0.00,-0.00,0.00,275.68,4.45
09/03/2009 20:00:00,5.45,0.00,-0.00,0.00,278.50,4.23
09/03/2009 21:00:00,5.50,0.00,-0.00,0.00,283.02,4.46
09/03/2009 22:00:00,5.54,0.00,-0.00,0.00,287.53,4.68
09/03/2009 23:00:00,5.59,0.00,-0.00,0.00,292.05,4.90
10/03/2009 00:00:00,5.57,0.00,-0.00,0.00,291.75,5.21
10/03/2009 01:00:00,5.55,0.00,-0.00,0.00,291.45,5.53
10/03/2009 02:00:00,5.54,0.00,-0.00,0.00,291.15,5.85
10/03/2009 03:00:00,5.41,0.00,-0.00,0.00,299.55,6.34
10/03/2009 04:00:00,5.28,0.00,-0.00,0.00,307.95,6.83
10/03/2009 05:00:00,5.15,0.00,-0.00,0.00,316.35,7.32
10/03/2009 06:00:00,5.37,0.00,-0.00,0.00,322.02,7.85
10/03/2009 07:00:00,5.58,27.00,0.00,27.00,327.68,8.37
10/03/2009 08:00:00,5.79,51.00,0.00,51.00,333.35,8.90
10/03/2009 09:00:00,6.58,51.00,0.00,51.00,335.12,8.89
10/03/2009 10:00:00,7.38,97.00,0.00,97.00,336.88,8.89
10/03/2009 11:00:00,8.17,510.00,455.46,243.00,338.65,8.88
10/03/2009 12:00:00,8.94,148.00,0.00,148.00,338.48,8.99
10/03/2009 13:00:00,9.71,116.00,0.00,116.00,338.32,9.10
10/03/2009 14:00:00,10.47,265.00,59.93,235.00,338.15,9.21
10/03/2009 15:00:00,9.80,239.00,135.59,186.00,334.78,8.31
10/03/2009 16:00:00,9.12,110.00,35.87,101.00,331.42,7.40
10/03/2009 17:00:00,8.44,30.00,33.28,27.00,328.05,6.50
10/03/2009 18:00:00,8.11,0.00,-0.00,0.00,318.87,6.11
10/03/2009 19:00:00,7.78,0.00,-0.00,0.00,309.68,5.73
10/03/2009 20:00:00,7.45,0.00,-0.00,0.00,300.50,5.35
10/03/2009 21:00:00,7.29,0.00,-0.00,0.00,306.85,4.83
10/03/2009 22:00:00,7.13,0.00,-0.00,0.00,313.20,4.31
10/03/2009 23:00:00,6.97,0.00,-0.00,0.00,319.55,3.79
11/03/2009 00:00:00,6.31,0.00,-0.00,0.00,315.35,3.24
11/03/2009 01:00:00,5.65,0.00,-0.00,0.00,311.15,2.68
11/03/2009 02:00:00,4.99,0.00,-0.00,0.00,306.95,2.12
11/03/2009 03:00:00,4.28,0.00,-0.00,0.00,311.28,2.01
11/03/2009 04:00:00,3.57,0.00,-0.00,0.00,315.62,1.89
11/03/2009 05:00:00,2.85,0.00,-0.00,0.00,319.95,1.78
11/03/2009 06:00:00,4.21,0.00,-0.00,0.00,318.25,1.68
11/03/2009 07:00:00,5.57,92.00,244.25,56.00,316.55,1.59
11/03/2009 08:00:00,6.93,264.00,567.96,92.00,314.85,1.49
11/03/2009 09:00:00,7.94,402.00,621.65,132.00,309.32,1.62
11/03/2009 10:00:00,8.94,517.00,686.81,151.00,303.78,1.76
11/03/2009 11:00:00,9.95,589.00,726.56,159.00,298.25,1.89
11/03/2009 12:00:00,10.26,587.00,655.57,189.00,292.48,1.66
11/03/2009 13:00:00,10.57,513.00,493.34,228.00,286.72,1.42
11/03/2009 14:00:00,10.87,459.00,555.78,178.00,280.95,1.19
11/03/2009 15:00:00,10.16,353.00,563.54,130.00,275.22,1.19
11/03/2009 16:00:00,9.44,163.00,199.57,112.00,269.48,1.20
11/03/2009 17:00:00,8.73,52.00,211.33,32.00,263.75,1.20
11/03/2009 18:00:00,7.02,0.00,-0.00,0.00,262.02,1.65
11/03/2009 19:00:00,5.31,0.00,-0.00,0.00,260.28,2.09
11/03/2009 20:00:00,3.60,0.00,-0.00,0.00,258.55,2.54
11/03/2009 21:00:00,3.76,0.00,-0.00,0.00,259.30,2.49
11/03/2009 22:00:00,3.92,0.00,-0.00,0.00,260.05,2.45
11/03/2009 23:00:00,4.09,0.00,-0.00,0.00,260.80,2.40
12/03/2009 00:00:00,4.21,0.00,-0.00,0.00,262.57,2.52
12/03/2009 01:00:00,4.33,0.00,-0.00,0.00,264.33,2.65
12/03/2009 02:00:00,4.46,0.00,-0.00,0.00,266.10,2.77
12/03/2009 03:00:00,4.78,0.00,-0.00,0.00,270.45,2.92
12/03/2009 04:00:00,5.10,0.00,-0.00,0.00,274.80,3.08
12/03/2009 05:00:00,5.42,0.00,-0.00,0.00,279.15,3.23
12/03/2009 06:00:00,6.42,0.00,-0.00,0.00,286.12,3.76
12/03/2009 07:00:00,7.41,63.00,45.64,56.00,293.08,4.29
12/03/2009 08:00:00,8.40,208.00,223.45,139.00,300.05,4.83
12/03/2009 09:00:00,9.40,134.00,0.00,134.00,306.08,5.53
12/03/2009 10:00:00,10.41,101.00,0.00,101.00,312.12,6.23
12/03/2009 11:00:00,11.41,153.00,0.00,153.00,318.15,6.94
12/03/2009 12:00:00,11.70,179.00,0.00,179.00,323.82,6.70
12/03/2009 13:00:00,11.99,159.00,0.00,159.00,329.48,6.47
12/03/2009 14:00:00,12.28,73.00,0.00,73.00,335.15,6.23
12/03/2009 15:00:00,11.59,128.00,2.50,127.00,334.00,5.43
12/03/2009 16:00:00,10.90,100.00,19.22,95.00,332.85,4.63
12/03/2009 17:00:00,10.21,36.00,40.35,32.00,331.70,3.83
12/03/2009 18:00:00,9.62,0.00,-0.00,0.00,329.82,3.80
12/03/2009 19:00:00,9.03,0.00,-0.00,0.00,327.93,3.76
12/03/2009 20:00:00,8.44,0.00,-0.00,0.00,326.05,3.72
12/03/2009 21:00:00,8.19,0.00,-0.00,0.00,323.57,3.53
12/03/2009 22:00:00,7.95,0.00,-0.00,0.00,321.08,3.34
12/03/2009 23:00:00,7.71,0.00,-0.00,0.00,318.60,3.14
13/03/2009 00:00:00,7.62,0.00,-0.00,0.00,319.80,3.04
13/03/2009 01:00:00,7.53,0.00,-0.00,0.00,321.00,2.93
13/03/2009 02:00:00,7.44,0.00,-0.00,0.00,322.20,2.83
13/03/2009 03:00:00,7.14,0.00,-0.00,0.00,317.40,2.50
13/03/2009 04:00:00,6.84,0.00,-0.00,0.00,312.60,2.17
13/03/2009 05:00:00,6.53,0.00,-0.00,0.00,307.80,1.85
13/03/2009 06:00:00,7.18,0.00,-0.00,0.00,304.73,1.79
13/03/2009 07:00:00,7.83,57.00,18.83,54.00,301.67,1.74
13/03/2009 08:00:00,8.47,148.00,47.66,133.00,298.60,1.68
13/03/2009 09:00:00,9.50,246.00,78.46,211.00,298.42,1.77
13/03/2009 10:00:00,10.54,283.00,53.27,254.00,298.23,1.85
13/03/2009 11:00:00,11.57,317.00,51.41,286.00,298.05,1.93
13/03/2009 12:00:00,11.85,305.00,37.22,282.00,294.90,1.82
13/03/2009 13:00:00,12.13,400.00,176.85,296.00,291.75,1.70
13/03/2009 14:00:00,12.40,397.00,302.59,241.00,288.60,1.59
13/03/2009 15:00:00,10.98,333.00,419.47,163.00,283.73,1.86
13/03/2009 16:00:00,9.56,228.00,570.32,77.00,278.87,2.14
13/03/2009 17:00:00,8.14,61.00,260.63,34.00,274.00,2.41
13/03/2009 18:00:00,7.20,0.00,-0.00,0.00,270.20,2.62
13/03/2009 19:00:00,6.25,0.00,-0.00,0.00,266.40,2.82
13/03/2009 20:00:00,5.30,0.00,-0.00,0.00,262.60,3.02
13/03/2009 21:00:00,5.35,0.00,-0.00,0.00,261.65,2.81
13/03/2009 22:00:00,5.39,0.00,-0.00,0.00,260.70,2.60
13/03/2009 23:00:00,5.43,0.00,-0.00,0.00,259.75,2.39
14/03/2009 00:00:00,5.37,0.00,-0.00,0.00,261.20,2.31
14/03/2009 01:00:00,5.31,0.00,-0.00,0.00,262.65,2.23
14/03/2009 02:00:00,5.26,0.00,-0.00,0.00,264.10,2.15
14/03/2009 03:00:00,5.25,0.00,-0.00,0.00,264.40,2.29
14/03/2009 04:00:00,5.24,0.00,-0.00,0.00,264.70,2.44
14/03/2009 05:00:00,5.22,0.00,-0.00,0.00,265.00,2.58
14/03/2009 06:00:00,6.60,0.00,-0.00,0.00,271.13,3.07
14/03/2009 07:00:00,7.98,56.00,12.09,54.00,277.27,3.55
14/03/2009 08:00:00,9.35,219.00,233.85,144.00,283.40,4.04
14/03/2009 09:00:00,10.38,289.00,154.88,219.00,292.62,4.57
14/03/2009 10:00:00,11.41,481.00,474.42,220.00,301.83,5.11
14/03/2009 11:00:00,12.44,246.00,9.86,240.00,311.05,5.64
14/03/2009 12:00:00,12.40,100.00,0.00,100.00,317.97,5.81
14/03/2009 13:00:00,12.36,460.50,478.40,176.70,324.88,5.97
14/03/2009 14:00:00,12.32,52.00,0.00,52.00,331.80,6.14
14/03/2009 15:00:00,11.58,99.00,0.00,99.00,337.72,5.61
14/03/2009 16:00:00,10.83,87.00,3.71,86.00,343.63,5.09
14/03/2009 17:00:00,10.09,29.00,9.26,28.00,349.55,4.57
14/03/2009 18:00:00,9.47,0.00,-0.00,0.00,342.47,4.24
14/03/2009 19:00:00,8.85,0.00,-0.00,0.00,335.38,3.91
14/03/2009 20:00:00,8.23,0.00,-0.00,0.00,328.30,3.59
14/03/2009 21:00:00,7.76,0.00,-0.00,0.00,326.17,3.10
14/03/2009 22:00:00,7.28,0.00,-0.00,0.00,324.03,2.61
14/03/2009 23:00:00,6.80,0.00,-0.00,0.00,321.90,2.12
15/03/2009 00:00:00,5.55,0.00,-0.00,0.00,298.22,2.06
15/03/2009 01:00:00,4.30,0.00,-0.00,0.00,274.53,2.00
15/03/2009 02:00:00,3.05,0.00,-0.00,0.00,250.85,1.94
15/03/2009 03:00:00,2.48,0.00,-0.00,0.00,247.63,2.09
15/03/2009 04:00:00,1.91,0.00,-0.00,0.00,244.42,2.24
15/03/2009 05:00:00,1.34,0.00,-0.00,0.00,241.20,2.39
15/03/2009 06:00:00,3.56,0.00,0.00,0.00,243.00,2.54
15/03/2009 07:00:00,5.78,126.00,402.62,57.00,244.80,2.70
15/03/2009 08:00:00,8.00,295.00,630.56,89.00,246.60,2.86
15/03/2009 09:00:00,9.44,446.00,731.69,111.00,253.23,3.12
15/03/2009 10:00:00,10.88,554.00,748.37,138.00,259.87,3.38
15/03/2009 11:00:00,12.32,627.00,791.37,141.00,266.50,3.64
15/03/2009 12:00:00,12.57,621.00,701.55,180.00,268.45,3.86
15/03/2009 13:00:00,12.82,595.00,728.68,159.00,270.40,4.07
15/03/2009 14:00:00,13.07,507.00,681.39,149.00,272.35,4.29
15/03/2009 15:00:00,11.54,381.00,619.68,124.00,271.45,3.68
15/03/2009 16:00:00,10.00,227.00,503.84,89.00,270.55,3.08
15/03/2009 17:00:00,8.46,48.00,71.12,40.00,269.65,2.47
15/03/2009 18:00:00,7.61,0.00,-0.00,0.00,267.10,2.41
15/03/2009 19:00:00,6.76,0.00,-0.00,0.00,264.55,2.35
15/03/2009 20:00:00,5.91,0.00,-0.00,0.00,262.00,2.29
15/03/2009 21:00:00,5.51,0.00,-0.00,0.00,261.48,2.25
15/03/2009 22:00:00,5.10,0.00,-0.00,0.00,260.97,2.21
15/03/2009 23:00:00,4.69,0.00,-0.00,0.00,260.45,2.17
16/03/2009 00:00:00,4.22,0.00,-0.00,0.00,258.48,2.11
16/03/2009 01:00:00,3.75,0.00,-0.00,0.00,256.52,2.06
16/03/2009 02:00:00,3.29,0.00,-0.00,0.00,254.55,2.01
16/03/2009 03:00:00,2.94,0.00,-0.00,0.00,253.67,2.03
16/03/2009 04:00:00,2.59,0.00,-0.00,0.00,252.78,2.04
16/03/2009 05:00:00,2.24,0.00,-0.00,0.00,251.90,2.06
16/03/2009 06:00:00,4.18,0.00,0.00,0.00,253.42,2.35
16/03/2009 07:00:00,6.11,140.00,512.95,49.00,254.93,2.64
16/03/2009 08:00:00,8.04,306.00,670.34,83.00,256.45,2.94
16/03/2009 09:00:00,9.39,446.00,696.56,123.00,261.28,2.95
16/03/2009 10:00:00,10.75,557.00,737.19,143.00,266.12,2.97
16/03/2009 11:00:00,12.10,610.00,697.17,178.00,270.95,2.98
16/03/2009 12:00:00,12.68,633.00,730.38,170.00,272.87,3.20
16/03/2009 13:00:00,13.25,617.00,798.76,135.00,274.78,3.41
16/03/2009 14:00:00,13.82,526.00,748.67,129.00,276.70,3.63
16/03/2009 15:00:00,12.32,403.00,717.66,102.00,276.05,3.21
16/03/2009 16:00:00,10.81,244.00,606.97,75.00,275.40,2.80
16/03/2009 17:00:00,9.30,73.00,290.82,39.00,274.75,2.39
16/03/2009 18:00:00,8.19,0.00,-0.00,0.00,272.90,2.44
16/03/2009 19:00:00,7.09,0.00,-0.00,0.00,271.05,2.49
16/03/2009 20:00:00,5.99,0.00,-0.00,0.00,269.20,2.54
16/03/2009 21:00:00,5.31,0.00,-0.00,0.00,267.35,2.62
16/03/2009 22:00:00,4.64,0.00,-0.00,0.00,265.50,2.69
16/03/2009 23:00:00,3.97,0.00,-0.00,0.00,263.65,2.77
17/03/2009 00:00:00,3.66,0.00,-0.00,0.00,262.88,2.63
17/03/2009 01:00:00,3.36,0.00,-0.00,0.00,262.12,2.49
17/03/2009 02:00:00,3.06,0.00,-0.00,0.00,261.35,2.34
17/03/2009 03:00:00,2.71,0.00,-0.00,0.00,259.43,2.17
17/03/2009 04:00:00,2.36,0.00,-0.00,0.00,257.52,2.00
17/03/2009 05:00:00,2.00,0.00,-0.00,0.00,255.60,1.83
17/03/2009 06:00:00,4.51,0.00,0.00,0.00,257.85,2.29
17/03/2009 07:00:00,7.02,141.00,457.91,57.00,260.10,2.74
17/03/2009 08:00:00,9.52,289.00,513.82,115.00,262.35,3.20
17/03/2009 09:00:00,11.03,445.00,662.32,134.00,267.35,3.43
17/03/2009 10:00:00,12.55,570.00,766.82,135.00,272.35,3.66
17/03/2009 11:00:00,14.06,653.00,852.61,120.00,277.35,3.89
17/03/2009 12:00:00,14.34,650.00,772.84,156.00,278.58,3.97
17/03/2009 13:00:00,14.61,616.00,774.04,145.00,279.82,4.06
17/03/2009 14:00:00,14.88,498.00,599.86,177.00,281.05,4.14
17/03/2009 15:00:00,13.55,398.00,660.25,118.00,279.83,3.67
17/03/2009 16:00:00,12.22,221.00,402.91,107.00,278.62,3.21
17/03/2009 17:00:00,10.89,64.00,156.61,45.00,277.40,2.74
17/03/2009 18:00:00,10.04,0.00,-0.00,0.00,274.77,3.04
17/03/2009 19:00:00,9.19,0.00,-0.00,0.00,272.13,3.34
17/03/2009 20:00:00,8.34,0.00,-0.00,0.00,269.50,3.64
17/03/2009 21:00:00,8.00,0.00,-0.00,0.00,267.65,3.73
17/03/2009 22:00:00,7.66,0.00,-0.00,0.00,265.80,3.82
17/03/2009 23:00:00,7.33,0.00,-0.00,0.00,263.95,3.90
18/03/2009 00:00:00,7.03,0.00,-0.00,0.00,263.72,4.04
18/03/2009 01:00:00,6.73,0.00,-0.00,0.00,263.48,4.18
18/03/2009 02:00:00,6.44,0.00,-0.00,0.00,263.25,4.32
18/03/2009 03:00:00,5.90,0.00,-0.00,0.00,260.35,4.20
18/03/2009 04:00:00,5.37,0.00,-0.00,0.00,257.45,4.09
18/03/2009 05:00:00,4.83,0.00,-0.00,0.00,254.55,3.97
18/03/2009 06:00:00,6.15,0.00,0.00,0.00,253.62,4.30
18/03/2009 07:00:00,7.46,140.00,395.82,65.00,252.68,4.63
18/03/2009 08:00:00,8.77,310.00,612.29,99.00,251.75,4.97
18/03/2009 09:00:00,10.23,463.00,729.91,116.00,254.97,4.77
18/03/2009 10:00:00,11.70,303.35,234.14,169.20,258.18,4.57
18/03/2009 11:00:00,13.16,659.00,854.73,120.00,261.40,4.37
18/03/2009 12:00:00,13.80,666.00,817.75,139.00,264.20,4.64
18/03/2009 13:00:00,14.43,625.00,788.89,141.00,267.00,4.91
18/03/2009 14:00:00,15.06,537.00,753.79,130.00,269.80,5.17
18/03/2009 15:00:00,13.54,407.00,688.10,112.00,268.70,4.52
18/03/2009 16:00:00,12.01,255.00,626.24,75.00,267.60,3.88
18/03/2009 17:00:00,10.49,83.00,326.15,42.00,266.50,3.23
18/03/2009 18:00:00,9.24,0.00,-0.00,0.00,262.78,3.10
18/03/2009 19:00:00,8.00,0.00,-0.00,0.00,259.07,2.97
18/03/2009 20:00:00,6.76,0.00,-0.00,0.00,255.35,2.84
18/03/2009 21:00:00,5.81,0.00,-0.00,0.00,251.78,2.71
18/03/2009 22:00:00,4.86,0.00,-0.00,0.00,248.22,2.58
18/03/2009 23:00:00,3.91,0.00,-0.00,0.00,244.65,2.46
19/03/2009 00:00:00,3.40,0.00,-0.00,0.00,242.90,2.46
19/03/2009 01:00:00,2.90,0.00,-0.00,0.00,241.15,2.47
19/03/2009 02:00:00,2.40,0.00,-0.00,0.00,239.40,2.48
19/03/2009 03:00:00,2.01,0.00,-0.00,0.00,237.93,2.41
19/03/2009 04:00:00,1.63,0.00,-0.00,0.00,236.47,2.34
19/03/2009 05:00:00,1.24,0.00,-0.00,0.00,235.00,2.28
19/03/2009 06:00:00,3.75,0.00,0.00,0.00,238.60,2.78
19/03/2009 07:00:00,6.26,155.00,490.99,59.00,242.20,3.29
19/03/2009 08:00:00,8.76,323.00,661.79,91.00,245.80,3.79
19/03/2009 09:00:00,10.33,477.00,770.95,106.00,250.77,3.98
19/03/2009 10:00:00,11.90,601.00,857.24,105.00,255.73,4.17
19/03/2009 11:00:00,13.46,682.00,932.31,89.00,260.70,4.36
19/03/2009 12:00:00,13.65,672.00,818.88,140.00,261.75,4.77
19/03/2009 13:00:00,13.84,637.00,819.70,130.00,262.80,5.19
19/03/2009 14:00:00,14.03,548.00,782.05,122.00,263.85,5.60
19/03/2009 15:00:00,12.71,419.00,726.95,104.00,262.62,5.19
19/03/2009 16:00:00,11.39,256.00,599.54,81.00,261.38,4.77
19/03/2009 17:00:00,10.07,87.00,330.57,44.00,260.15,4.36
19/03/2009 18:00:00,9.11,0.00,-0.00,0.00,258.05,4.40
19/03/2009 19:00:00,8.15,0.00,-0.00,0.00,255.95,4.44
19/03/2009 20:00:00,7.20,0.00,-0.00,0.00,253.85,4.48
19/03/2009 21:00:00,6.63,0.00,-0.00,0.00,251.03,4.32
19/03/2009 22:00:00,6.06,0.00,-0.00,0.00,248.22,4.15
19/03/2009 23:00:00,5.49,0.00,-0.00,0.00,245.40,3.99
20/03/2009 00:00:00,5.01,0.00,-0.00,0.00,243.37,3.91
20/03/2009 01:00:00,4.53,0.00,-0.00,0.00,241.33,3.84
20/03/2009 02:00:00,4.06,0.00,-0.00,0.00,239.30,3.77
20/03/2009 03:00:00,3.43,0.00,-0.00,0.00,236.75,3.65
20/03/2009 04:00:00,2.81,0.00,-0.00,0.00,234.20,3.53
20/03/2009 05:00:00,2.18,0.00,-0.00,0.00,231.65,3.41
20/03/2009 06:00:00,3.71,0.00,0.00,0.00,232.02,3.72
20/03/2009 07:00:00,5.23,158.00,476.28,62.00,232.38,4.03
20/03/2009 08:00:00,6.75,331.00,678.80,89.00,232.75,4.34
20/03/2009 09:00:00,7.85,481.00,761.76,110.00,236.17,4.57
20/03/2009 10:00:00,8.94,595.00,802.78,126.00,239.58,4.80
20/03/2009 11:00:00,10.04,672.00,858.97,121.00,243.00,5.03
20/03/2009 12:00:00,10.23,695.00,896.39,108.00,244.35,5.20
20/03/2009 13:00:00,10.41,643.00,821.20,131.00,245.70,5.37
20/03/2009 14:00:00,10.59,556.00,798.94,117.00,247.05,5.54
20/03/2009 15:00:00,9.38,428.00,755.89,97.00,246.15,4.63
20/03/2009 16:00:00,8.17,262.00,614.18,80.00,245.25,3.72
20/03/2009 17:00:00,6.96,93.00,379.36,42.00,244.35,2.81
20/03/2009 18:00:00,5.85,0.00,-0.00,0.00,242.25,2.71
20/03/2009 19:00:00,4.74,0.00,-0.00,0.00,240.15,2.61
20/03/2009 20:00:00,3.62,0.00,-0.00,0.00,238.05,2.51
20/03/2009 21:00:00,2.84,0.00,-0.00,0.00,235.77,2.46
20/03/2009 22:00:00,2.05,0.00,-0.00,0.00,233.48,2.40
20/03/2009 23:00:00,1.27,0.00,-0.00,0.00,231.20,2.34
21/03/2009 00:00:00,0.76,0.00,-0.00,0.00,229.02,2.57
21/03/2009 01:00:00,0.25,0.00,-0.00,0.00,226.83,2.79
21/03/2009 02:00:00,-0.25,0.00,-0.00,0.00,224.65,3.01
21/03/2009 03:00:00,-0.63,0.00,-0.00,0.00,222.82,2.86
21/03/2009 04:00:00,-1.01,0.00,-0.00,0.00,220.98,2.70
21/03/2009 05:00:00,-1.40,0.00,-0.00,0.00,219.15,2.55
21/03/2009 06:00:00,1.02,0.00,0.00,0.00,221.80,2.20
21/03/2009 07:00:00,3.44,168.00,515.42,61.00,224.45,1.85
21/03/2009 08:00:00,5.85,338.00,684.23,90.00,227.10,1.50
21/03/2009 09:00:00,7.21,495.00,805.57,98.00,231.93,1.95
21/03/2009 10:00:00,8.57,602.00,805.33,127.00,236.77,2.40
21/03/2009 11:00:00,9.93,681.00,876.57,114.00,241.60,2.86
21/03/2009 12:00:00,10.28,691.00,853.03,128.00,243.47,2.97
21/03/2009 13:00:00,10.63,652.00,838.64,125.00,245.33,3.08
21/03/2009 14:00:00,10.98,565.00,813.80,114.00,247.20,3.19
21/03/2009 15:00:00,9.30,433.00,759.44,97.00,247.07,3.30
21/03/2009 16:00:00,7.61,268.00,628.45,79.00,246.93,3.42
21/03/2009 17:00:00,5.92,97.00,389.13,43.00,246.80,3.53
21/03/2009 18:00:00,4.59,0.00,-0.00,0.00,244.07,3.61
21/03/2009 19:00:00,3.25,0.00,-0.00,0.00,241.33,3.70
21/03/2009 20:00:00,1.91,0.00,-0.00,0.00,238.60,3.78
21/03/2009 21:00:00,1.58,0.00,-0.00,0.00,237.15,3.66
21/03/2009 22:00:00,1.24,0.00,-0.00,0.00,235.70,3.55
21/03/2009 23:00:00,0.91,0.00,-0.00,0.00,234.25,3.43
22/03/2009 00:00:00,1.13,0.00,-0.00,0.00,235.37,3.12
22/03/2009 01:00:00,1.35,0.00,-0.00,0.00,236.48,2.80
22/03/2009 02:00:00,1.58,0.00,-0.00,0.00,237.60,2.48
22/03/2009 03:00:00,1.51,0.00,-0.00,0.00,237.23,2.48
22/03/2009 04:00:00,1.44,0.00,-0.00,0.00,236.87,2.48
22/03/2009 05:00:00,1.37,0.00,-0.00,0.00,236.50,2.48
22/03/2009 06:00:00,3.70,2.00,0.00,2.00,240.33,3.01
22/03/2009 07:00:00,6.02,112.00,102.98,90.00,244.17,3.54
22/03/2009 08:00:00,8.34,98.00,0.00,98.00,248.00,4.07
22/03/2009 09:00:00,9.70,174.00,4.01,172.00,255.90,4.68
22/03/2009 10:00:00,11.06,138.00,0.00,138.00,263.80,5.29
22/03/2009 11:00:00,12.42,122.00,0.00,122.00,271.70,5.90
22/03/2009 12:00:00,12.04,98.00,0.00,98.00,274.22,5.66
22/03/2009 13:00:00,11.66,126.00,0.00,126.00,276.73,5.42
22/03/2009 14:00:00,11.28,342.00,116.31,277.00,279.25,5.17
22/03/2009 15:00:00,10.19,326.00,261.78,209.00,275.40,4.17
22/03/2009 16:00:00,9.09,252.00,478.49,106.00,271.55,3.16
22/03/2009 17:00:00,8.00,88.00,237.61,54.00,267.70,2.15
22/03/2009 18:00:00,6.76,0.00,-0.00,0.00,263.45,2.35
22/03/2009 19:00:00,5.52,0.00,-0.00,0.00,259.20,2.56
22/03/2009 20:00:00,4.28,0.00,-0.00,0.00,254.95,2.76
22/03/2009 21:00:00,4.26,0.00,-0.00,0.00,253.72,2.67
22/03/2009 22:00:00,4.23,0.00,-0.00,0.00,252.48,2.57
22/03/2009 23:00:00,4.21,0.00,-0.00,0.00,251.25,2.48
23/03/2009 00:00:00,4.00,0.00,-0.00,0.00,251.80,2.58
23/03/2009 01:00:00,3.79,0.00,-0.00,0.00,252.35,2.68
23/03/2009 02:00:00,3.59,0.00,-0.00,0.00,252.90,2.77
23/03/2009 03:00:00,3.46,0.00,-0.00,0.00,252.53,3.04
23/03/2009 04:00:00,3.34,0.00,-0.00,0.00,252.17,3.31
23/03/2009 05:00:00,3.21,0.00,-0.00,0.00,251.80,3.57
23/03/2009 06:00:00,5.00,2.00,0.00,2.00,255.35,4.57
23/03/2009 07:00:00,6.79,66.00,4.55,65.00,258.90,5.56
23/03/2009 08:00:00,8.57,115.00,2.67,114.00,262.45,6.55
23/03/2009 09:00:00,10.01,149.00,0.00,149.00,269.03,7.15
23/03/2009 10:00:00,11.46,431.00,221.33,298.00,275.62,7.76
23/03/2009 11:00:00,12.90,349.00,53.23,314.00,282.20,8.36
23/03/2009 12:00:00,12.94,670.00,728.15,182.00,283.02,8.51
23/03/2009 13:00:00,12.98,657.00,813.31,138.00,283.83,8.65
23/03/2009 14:00:00,13.01,534.00,633.52,177.00,284.65,8.80
23/03/2009 15:00:00,11.83,343.00,307.92,204.00,286.55,8.66
23/03/2009 16:00:00,10.64,159.00,74.32,136.00,288.45,8.51
23/03/2009 17:00:00,9.46,61.00,47.49,54.00,290.35,8.37
23/03/2009 18:00:00,8.91,0.00,-0.00,0.00,293.42,8.55
23/03/2009 19:00:00,8.36,0.00,-0.00,0.00,296.48,8.72
23/03/2009 20:00:00,7.82,0.00,-0.00,0.00,299.55,8.90
23/03/2009 21:00:00,7.32,0.00,-0.00,0.00,308.42,8.76
23/03/2009 22:00:00,6.82,0.00,-0.00,0.00,317.28,8.63
23/03/2009 23:00:00,6.32,0.00,-0.00,0.00,326.15,8.50
24/03/2009 00:00:00,5.74,0.00,-0.00,0.00,321.83,7.97
24/03/2009 01:00:00,5.17,0.00,-0.00,0.00,317.52,7.45
24/03/2009 02:00:00,4.60,0.00,-0.00,0.00,313.20,6.92
24/03/2009 03:00:00,4.14,0.00,-0.00,0.00,301.23,6.82
24/03/2009 04:00:00,3.68,0.00,-0.00,0.00,289.27,6.71
24/03/2009 05:00:00,3.22,0.00,-0.00,0.00,277.30,6.61
24/03/2009 06:00:00,4.24,3.00,0.00,3.00,274.23,7.63
24/03/2009 07:00:00,5.26,170.00,394.41,81.00,271.17,8.65
24/03/2009 08:00:00,6.27,274.00,270.94,171.00,268.10,9.67
24/03/2009 09:00:00,7.10,184.00,3.92,182.00,274.32,9.31
24/03/2009 10:00:00,7.93,103.00,0.00,103.00,280.53,8.94
24/03/2009 11:00:00,8.75,93.00,0.00,93.00,286.75,8.58
24/03/2009 12:00:00,8.74,379.00,69.61,332.00,289.00,8.50
24/03/2009 13:00:00,8.72,491.00,276.85,313.00,291.25,8.41
24/03/2009 14:00:00,8.70,391.00,190.10,283.00,293.50,8.33
24/03/2009 15:00:00,8.03,223.00,43.87,203.00,289.63,7.20
24/03/2009 16:00:00,7.35,190.00,149.77,143.00,285.77,6.07
24/03/2009 17:00:00,6.67,101.00,316.47,53.00,281.90,4.94
24/03/2009 18:00:00,5.61,0.00,-0.00,0.00,269.45,4.23
24/03/2009 19:00:00,4.56,0.00,-0.00,0.00,257.00,3.52
24/03/2009 20:00:00,3.51,0.00,-0.00,0.00,244.55,2.81
24/03/2009 21:00:00,3.69,0.00,-0.00,0.00,245.35,3.10
24/03/2009 22:00:00,3.87,0.00,-0.00,0.00,246.15,3.38
24/03/2009 23:00:00,4.05,0.00,-0.00,0.00,246.95,3.67
25/03/2009 00:00:00,4.15,0.00,-0.00,0.00,251.93,4.23
25/03/2009 01:00:00,4.25,0.00,-0.00,0.00,256.92,4.80
